================ 扩展映射验证完整结果 ================
测试总文件数：173
推测系统最可能的映射策略：Block RevSub [I16..I1, Q16..Q1]
平均匹配误差：5.54 / 32 bits

【所有被测试文件的最佳匹配详情】
文件编号  | 最佳相位假说     | 时间 T  | 误差/32 | 映射假说
File 084 | Phase 2 (90°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 085 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 086 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 087 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 088 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 089 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 090 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 091 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 092 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 093 | Phase 3 (180°) | T=033 | 04/32  | Interleaved [I,Q]
File 094 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 095 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 096 | Phase 2 (90°) | T=033 | 04/32  | Interleaved [I,Q]
File 097 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 098 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 099 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 100 | Phase 3 (180°) | T=033 | 04/32  | Interleaved [I,Q]
File 101 | Phase 3 (180°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 102 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 103 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 104 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 105 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 106 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [Q,I]
File 107 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [Q,I] (+ Conj/Flip Q)
File 108 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1] (+ Conj/Flip Q)
File 109 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 110 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 111 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 112 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 113 | Phase 1 (0°) | T=208 | 06/32  | Interleaved [Q,I]
File 114 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 115 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 116 | Phase 1 (0°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1] (+ Conj/Flip Q)
File 117 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 118 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 119 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 120 | Phase 1 (0°) | T=033 | 04/32  | Interleaved [I,Q]
File 121 | Phase 1 (0°) | T=292 | 06/32  | Block RevSub [Q16..Q1, I16..I1]
File 122 | Phase 1 (0°) | T=130 | 06/32  | Interleaved [I,Q] (+ Conj/Flip Q)
File 123 | Phase 3 (180°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
File 124 | Phase 2 (90°) | T=264 | 06/32  | Block RevSub [I16..I1, Q16..Q1]
